method,platformId,resizeFactor,winSize,maxDisp,ccThresh,occThresh,znccTime,postprocTime
OPENCL,1,2,15,32,8,4,3006209,186150
OPENCL,1,2,15,64,16,8,5685453,182812
OPENCL,1,2,15,128,32,16,11082419,173763
OPENCL,1,2,25,32,8,4,7844381,190917
OPENCL,1,2,25,64,16,8,15467557,185499
OPENCL,1,2,25,128,32,16,30312098,189110
OPENCL,1,2,35,32,8,4,15229935,193841
OPENCL,1,2,35,64,16,8,30286793,192590
OPENCL,1,2,35,128,32,16,59449803,189017
SIMD,1,2,15,32,8,4,41609385,206091
SIMD,1,2,15,64,16,8,77042768,206570
SIMD,1,2,15,128,32,16,147668371,201873
SIMD,1,2,25,32,8,4,102300077,215009
SIMD,1,2,25,64,16,8,198716028,216400
SIMD,1,2,25,128,32,16,380231937,213331
SIMD,1,2,35,32,8,4,197100421,213106
SIMD,1,2,35,64,16,8,395342285,209565
SIMD,1,2,35,128,32,16,746938202,214659
MULTI_THREADED,1,2,15,32,8,4,61191080,203661
MULTI_THREADED,1,2,15,64,16,8,120979490,204173
MULTI_THREADED,1,2,15,128,32,16,240795014,202346
MULTI_THREADED,1,2,25,32,8,4,169649356,214003
MULTI_THREADED,1,2,25,64,16,8,336784500,210455
MULTI_THREADED,1,2,25,128,32,16,660874337,212363
MULTI_THREADED,1,2,35,32,8,4,329527954,217915
MULTI_THREADED,1,2,35,64,16,8,664751831,228053
MULTI_THREADED,1,2,35,128,32,16,1311319880,220650
CUDA,1,2,15,32,8,4,3322394,212921
CUDA,1,2,15,64,16,8,6112464,208550
CUDA,1,2,15,128,32,16,11072427,213271
CUDA,1,2,25,32,8,4,8819862,219775
CUDA,1,2,25,64,16,8,16817113,214655
CUDA,1,2,25,128,32,16,30484156,210100
CUDA,1,2,35,32,8,4,18201566,219984
CUDA,1,2,35,64,16,8,34660854,212043
CUDA,1,2,35,128,32,16,62661597,208253
OPENCL_OPT1,1,2,15,32,8,4,3499771,215393
OPENCL_OPT1,1,2,15,64,16,8,6338111,209790
OPENCL_OPT1,1,2,15,128,32,16,11291568,191372
OPENCL_OPT1,1,2,25,32,8,4,9087976,219690
OPENCL_OPT1,1,2,25,64,16,8,17181227,213072
OPENCL_OPT1,1,2,25,128,32,16,30632825,201780
OPENCL_OPT1,1,2,35,32,8,4,18578997,217494
OPENCL_OPT1,1,2,35,64,16,8,35116627,217225
OPENCL_OPT1,1,2,35,128,32,16,63106994,206043
OPENCL_OPT,1,2,15,32,8,4,1627533,392542
OPENCL_OPT,1,2,15,64,16,8,3034171,359473
OPENCL_OPT,1,2,15,128,32,16,5766306,336603
OPENCL_OPT,1,2,25,32,8,4,4181665,424300
OPENCL_OPT,1,2,25,64,16,8,8044225,385208
OPENCL_OPT,1,2,25,128,32,16,15551861,348484
OPENCL_OPT,1,2,35,32,8,4,8026244,458262
OPENCL_OPT,1,2,35,64,16,8,15516193,469731
OPENCL_OPT,1,2,35,128,32,16,30041314,369830
OPENCL_OPT3,1,2,15,32,8,4,3196154,258869
OPENCL_OPT3,1,2,15,64,16,8,5860642,240834
OPENCL_OPT3,1,2,15,128,32,16,11413280,231488
OPENCL_OPT3,1,2,25,32,8,4,8004948,246232
OPENCL_OPT3,1,2,25,64,16,8,15902040,239538
OPENCL_OPT3,1,2,25,128,32,16,31232164,243502
OPENCL_OPT3,1,2,35,32,8,4,15596425,251220
OPENCL_OPT3,1,2,35,64,16,8,30945610,263317
OPENCL_OPT3,1,2,35,128,32,16,60584300,243979
OPENCL,0,2,15,32,8,4,4017702,192667
OPENCL,0,2,15,64,16,8,8003655,188247
OPENCL,0,2,15,128,32,16,15603469,180313
OPENCL,0,2,25,32,8,4,11087071,216628
OPENCL,0,2,25,64,16,8,2258,1128097
OPENCL,0,2,25,128,32,16,1995,1139961
OPENCL,0,2,35,32,8,4,2322,1134051
OPENCL,0,2,35,64,16,8,1714,1138539
OPENCL,0,2,35,128,32,16,1865,1123807
OPENCL,2,2,15,32,8,4,18218036,200902
OPENCL,2,2,15,64,16,8,35572019,192230
OPENCL,2,2,15,128,32,16,75193224,177956
OPENCL,2,2,25,32,8,4,53033025,197256
OPENCL,2,2,25,64,16,8,105319542,188927
OPENCL,2,2,25,128,32,16,211949850,178243
OPENCL,2,2,35,32,8,4,107445719,201006
OPENCL,2,2,35,64,16,8,210419346,186208
OPENCL,2,2,35,128,32,16,420353404,180575
SINGLE_THREADED,1,2,15,32,8,4,399432465,208589
SINGLE_THREADED,1,2,15,64,16,8,779058417,204777
SINGLE_THREADED,1,2,25,32,8,4,982037392,208589
SINGLE_THREADED,1,2,25,64,16,8,1915377442,204777
OPENCL_OPT,0,2,15,32,8,4,1921235,520953
OPENCL_OPT,0,2,15,64,16,8,3583798,460511
OPENCL_OPT,0,2,15,128,32,16,6793647,508703
OPENCL_OPT,0,2,25,32,8,4,4934152,456972
OPENCL_OPT,0,2,25,64,16,8,9337629,491490
OPENCL_OPT,0,2,25,128,32,16,18144787,544868
OPENCL_OPT,0,2,35,32,8,4,9293624,416250
OPENCL_OPT,0,2,35,64,16,8,17884017,496518
OPENCL_OPT,0,2,35,128,32,16,35038689,562609
OPENCL_OPT,2,2,15,32,8,4,8040416,268134
OPENCL_OPT,2,2,15,64,16,8,15207412,377656
OPENCL_OPT,2,2,15,128,32,16,30101283,699201
OPENCL_OPT,2,2,25,32,8,4,22716960,308541
OPENCL_OPT,2,2,25,64,16,8,42925121,408974
OPENCL_OPT,2,2,25,128,32,16,84212052,785151
OPENCL_OPT,2,2,35,32,8,4,43984503,333745
OPENCL_OPT,2,2,35,64,16,8,86971700,487426
OPENCL_OPT,2,2,35,128,32,16,168050350,894936
OPENMP,1,2,15,32,8,4,55478090,217800
OPENMP,1,2,15,64,16,8,114152902,209129
OPENMP,1,2,15,128,32,16,229062452,220248
OPENMP,1,2,25,32,8,4,168936662,240391
OPENMP,1,2,25,64,16,8,327539838,225688
OPENMP,1,2,25,128,32,16,648786580,225881
OPENMP,1,2,35,32,8,4,332572762,235595
OPENMP,1,2,35,64,16,8,656607906,237278
OPENMP,1,2,35,128,32,16,1291862665,233569
